"sample_size","effect_alien","effect_lever","power"
210,0,0.2,0.026
210,0,0.25,0.0275
210,0,0.3,0.0285
210,0.05,0,0.01
210,0.05,0.05,0.035
210,0.05,0.1,0.0575
210,0.05,0.15,0.0795
210,0.05,0.2,0.1
210,0.05,0.25,0.117
210,0.05,0.3,0.1045
210,0.1,0,0.0175
210,0.1,0.05,0.063
210,0.1,0.1,0.115
210,0.1,0.15,0.188
210,0.1,0.2,0.213
210,0.1,0.25,0.249
210,0.1,0.3,0.2345
210,0.15,0,0.0285
210,0.15,0.05,0.0785
210,0.15,0.1,0.177
210,0.15,0.15,0.284
210,0.15,0.2,0.3955
210,0.15,0.25,0.441
210,0.15,0.3,0.4685
210,0.2,0,0.023
210,0.2,0.05,0.0995
210,0.2,0.1,0.2325
210,0.2,0.15,0.392
210,0.2,0.2,0.5415
210,0.2,0.25,0.6425
210,0.2,0.3,0.698
210,0.25,0,0.0265
210,0.25,0.05,0.102
210,0.25,0.1,0.2385
210,0.25,0.15,0.454
210,0.25,0.2,0.6455
210,0.25,0.25,0.755
210,0.25,0.3,0.819
210,0.3,0,0.0265
210,0.3,0.05,0.101
210,0.3,0.1,0.239
210,0.3,0.15,0.445
210,0.3,0.2,0.692
210,0.3,0.25,0.832
210,0.3,0.3,0.924
225,0,0,0.006
225,0,0.05,0.015
225,0,0.1,0.0155
225,0,0.15,0.018
225,0,0.2,0.0245
225,0,0.25,0.0245
225,0,0.3,0.025
225,0.05,0,0.009
225,0.05,0.05,0.0355
225,0.05,0.1,0.062
225,0.05,0.15,0.0805
225,0.05,0.2,0.0955
225,0.05,0.25,0.1035
225,0.05,0.3,0.087
225,0.1,0,0.016
225,0.1,0.05,0.0585
225,0.1,0.1,0.1235
225,0.1,0.15,0.1895
225,0.1,0.2,0.234
225,0.1,0.25,0.263
225,0.1,0.3,0.257
225,0.15,0,0.022
225,0.15,0.05,0.0805
225,0.15,0.1,0.1995
225,0.15,0.15,0.3045
225,0.15,0.2,0.4005
225,0.15,0.25,0.483
225,0.15,0.3,0.502
225,0.2,0,0.0285
225,0.2,0.05,0.0825
225,0.2,0.1,0.229
225,0.2,0.15,0.428
225,0.2,0.2,0.5795
225,0.2,0.25,0.7015
225,0.2,0.3,0.715
225,0.25,0,0.0245
225,0.25,0.05,0.098
225,0.25,0.1,0.2525
225,0.25,0.15,0.4885
225,0.25,0.2,0.692
225,0.25,0.25,0.8125
225,0.25,0.3,0.875
225,0.3,0,0.03
225,0.3,0.05,0.0975
225,0.3,0.1,0.258
225,0.3,0.15,0.474
225,0.3,0.2,0.699
225,0.3,0.25,0.87
225,0.3,0.3,0.944
