"eff","sim","bf","Rhat_max","ESS_min","check"
0.125,1,0.562192859955987,1.00154019027013,0.356155464366723,1
0.125,2,0.0178298519556965,1.00360044613093,0.399973764063509,1
0.125,3,70.5348888130924,1.00767895229278,0.319590906230022,1
0.125,4,2.67482708923639,1.00243165496746,0.36032024653167,1
0.125,5,9.80423928748014,1.0037605784563,0.333563696605945,1
0.125,6,0.0954615424867913,1.00122955140569,0.344069604706825,1
0.125,7,1.42362773854716,1.00218498844356,0.381950819760061,1
0.125,8,0.506842061532823,1.00210850706486,0.349888618872275,1
0.125,9,0.0301733894883068,1.00382640780091,0.344088056224234,1
0.125,10,2.3669349234044,1.00372314897771,0.353773421947378,1
0.125,11,0.0917143049451338,1.00364179542835,0.306213389051018,1
0.125,12,0.22660084317259,1.00279618335724,0.37151727831874,1
0.125,13,0.0668631214190694,1.00634481584743,0.334068630249038,1
0.125,14,0.0566491957174905,1.00161754923638,0.376972303713999,1
0.125,15,0.830817359487876,1.0039183586716,0.290784061074224,1
0.125,16,0.0300153242585311,1.0038098689614,0.411291830070494,1
0.125,17,0.0727111526653934,1.00362846697797,0.356375275109252,1
0.125,18,0.19558396551482,1.00481900989662,0.311193336978689,1
0.125,19,21.8197869118781,1.00508199728848,0.332920281277673,1
0.125,20,9.53072251037849,1.00187558232662,0.359977800274044,1
0.125,21,0.376973481518038,1.00690486714198,0.335490164184398,1
0.125,22,0.0342045354959787,1.00356717742368,0.355586484217195,1
0.125,23,4.75594305977033,1.00588179543404,0.319427978429792,1
0.125,24,0.0379818094920233,1.0031665922771,0.360355480056804,1
0.125,25,0.841844063991608,1.00330631071605,0.336245511587787,1
0.125,26,0.019916005248818,1.00277164546504,0.352330675321772,1
0.125,27,0.44977968405003,1.00445568844917,0.340962263087556,1
0.125,28,2.65701276162695,1.00388522387684,0.365096131016551,1
0.125,29,0.116052628470585,1.00263809937357,0.399735523911002,1
0.125,30,0.0262046184863452,1.00348610715921,0.367991239588454,1
0.125,31,1.53617523436237,1.00527572722061,0.377433614414571,1
0.125,32,0.018897332775102,1.00291270278131,0.414292219213359,1
0.125,33,0.0310936575071362,1.00309963267777,0.390514781451604,1
0.125,34,0.0258517955110503,1.00198196447635,0.381313621316301,1
0.125,35,1.07356276277682,1.00211351113158,0.358109973505547,1
0.125,36,0.946659680186589,1.00124496213685,0.292873974772557,1
0.125,37,0.17010687785815,1.00403466204352,0.293152404778447,1
0.125,38,1.02532920918435,1.00277916071453,0.298722510641878,1
0.125,39,0.914438458672374,1.00327692835396,0.336413207465469,1
0.125,40,0.521531735104582,1.00486040825778,0.349591362326886,1
0.125,41,0.22897658548909,1.003193760003,0.36579674042119,1
0.125,42,0.115544725641613,1.00408110287352,0.382279964077912,1
0.125,43,0.0434639000512395,1.00153104118489,0.383874255791529,1
0.125,44,0.0726567018834595,1.00290087942159,0.300834185369225,1
0.125,45,0.00973887528936905,1.00296977725183,0.377989713565495,1
0.125,46,0.0256550802534712,1.0023137493197,0.353977940027229,1
0.125,47,1.7816368641481,1.00395774199468,0.351494753155564,1
0.125,48,0.206711696942715,1.00391596753854,0.333292916292913,1
0.125,49,1.01739286191915,1.00205963131809,0.388631651482737,1
0.125,50,0.0364309639441256,1.00473777597973,0.374504720332638,1
0.125,51,0.15238101279573,1.00395069778229,0.344887954461454,1
0.125,52,0.33057417874601,1.00308949609832,0.400737105527623,1
0.125,53,5.08900335801152,1.00271882399317,0.36811854538291,1
0.125,54,0.0419421766979768,1.00236753515038,0.389804759379469,1
0.125,55,0.142425216731026,1.00293104132313,0.400123892665718,1
0.125,56,0.0214331831815749,1.00301990398758,0.384502523149009,1
0.125,57,0.332810097084827,1.00170056888566,0.32847940938068,1
0.125,58,0.236981860821539,1.00228564754395,0.322593537887348,1
0.125,59,0.121234044445805,1.00527235258855,0.404153548506534,1
0.125,60,2.84049709527612,1.00460340673684,0.287776507575022,1
0.125,61,0.324544961013291,1.00291724694149,0.349184991127178,1
0.125,62,1.49358951399582,1.00407336165252,0.334097164084918,1
0.125,63,17.6741503406135,1.00266468302587,0.316643890839254,1
0.125,64,0.0628135739707043,1.00293740616081,0.331113454731129,1
0.125,65,0.0436412952959943,1.00133005390479,0.362388688779821,1
0.125,66,1.42952680743852,1.00605965209612,0.412782328253289,1
0.125,67,1.52455140512803,1.00374438906485,0.345356944588628,1
0.125,68,3.3204524917597,1.00366971074796,0.293315797345666,1
0.125,69,0.408436995894521,1.00419612917982,0.383143006792279,1
0.125,70,88.1416658608594,1.00287237981784,0.282560319035261,1
0.125,71,0.147880762295591,1.00365983325246,0.377938083182035,1
0.125,72,0.0405633829101861,1.00206499084615,0.364906018254638,1
0.125,73,4.07959279038558,1.00446970570058,0.399890324651011,1
0.125,74,0.170304970171952,1.0052759570253,0.295090630843968,1
0.125,75,13.4957835691969,1.00431430710097,0.291616834152377,1
0.125,76,0.623639922853065,1.00317741727225,0.371601913423093,1
0.125,77,0.248529186611251,1.00190664069924,0.362156681877683,1
0.125,78,3.08052937491097,1.00269621530684,0.363954369293564,1
0.125,79,0.0954879261694703,1.00339316821856,0.40738666540728,1
0.125,80,1.39375312343976,1.00312385541849,0.323867224135223,1
0.125,81,0.205567664527261,1.0016987202343,0.386312485949599,1
0.125,82,1.77899441729961,1.0030065701569,0.282299387744629,1
0.125,83,0.88338209600876,1.00292918929525,0.328175819467146,1
0.125,84,1.17926571207168,1.00367685463944,0.338445178362581,1
0.125,85,0.0291940848368167,1.0032480438935,0.407387495459017,1
0.125,86,4.01411123193906,1.00276401207834,0.346467094507892,1
0.125,87,10.1514350565525,1.00325068381941,0.358984120498336,1
0.125,88,0.205454463088494,1.00425696320956,0.349245078705552,1
0.125,89,0.125174596550837,1.00188242724815,0.329348046216794,1
0.125,90,0.290428821256023,1.00296531831827,0.3561510572283,1
0.125,91,0.233873182560404,1.00320226731034,0.313281964147954,1
0.125,92,0.0186771679898304,1.00425773138832,0.350081105320934,1
0.125,93,10.2796780181224,1.00226678625592,0.317503369375729,1
0.125,94,0.964417555966699,1.00164287323432,0.296974714714287,1
0.125,95,0.220218820608258,1.00193490999548,0.351490292193248,1
0.125,96,0.206307462131687,1.00406960051852,0.355327503099664,1
0.125,97,0.0553769159822623,1.00380645865728,0.364234899427425,1
0.125,98,1.02648930125809,1.00153196520464,0.324725242022068,1
0.125,99,0.940746800826302,1.00356268373238,0.369641251039282,1
0.125,100,1.30665664973903,1.00359087501141,0.352238092947296,1
0.125,101,0.205370032819743,1.00225373544864,0.339569399309179,1
0.125,102,0.431556100421986,1.0044324096002,0.303733223026546,1
0.125,103,3.15283724157706,1.00281131174758,0.372033112669684,1
0.125,104,0.235368604943672,1.00572516450718,0.361707277826888,1
0.125,105,0.217308406551981,1.00281115971065,0.382006619504319,1
0.125,106,0.015467180224342,1.00254008025401,0.385631359294645,1
0.125,107,0.0859308994745398,1.00169988050423,0.37433344203788,1
0.125,108,3.44910052851783,1.00439011788642,0.249068652379356,1
0.125,109,3.97793335255565,1.00371510332217,0.355072760880244,1
0.125,110,0.315649871080382,1.00241986954335,0.368022423232014,1
0.125,111,1.60339757250451,1.00281207780972,0.314172383621454,1
0.125,112,0.32797717726291,1.00364385022938,0.363749158656735,1
