"eff","sim","bf","Rhat_max","ESS_min","check"
0.15,1,0.0267030665830303,1.00360668064012,0.382806423948081,1
0.15,2,10.8892202769459,1.00212394161211,0.425814421012095,1
0.15,3,2.05563628423073,1.00218227129139,0.346146325405527,1
0.15,4,0.330963582277945,1.00196075971986,0.362057449564755,1
0.15,5,0.399594110254132,1.00318879666616,0.372309230598913,1
0.15,6,0.175232382188573,1.00157609215811,0.371889392781081,1
0.15,7,3.48257494647675,1.00295575608672,0.418830179600018,1
0.15,8,0.357379622697425,1.00386284294835,0.356881922268878,1
0.15,9,0.00858956379205614,1.00380038559038,0.426344908346279,1
0.15,10,0.0930488827217405,1.00390355356424,0.33880847846082,1
0.15,11,0.397515281523225,1.00429046418978,0.401835510370848,1
0.15,12,0.0160883648429794,1.00210739098076,0.329206385347204,1
0.15,13,0.866457072336307,1.00365607133313,0.335574354068417,1
0.15,14,0.290393431551734,1.0063684081607,0.329600786328006,1
0.15,15,4.34020018459613,1.00822291203718,0.289748755155285,1
0.15,16,7.36876164426315,1.00457793518436,0.373006855416413,1
0.15,17,4.03762049350409,1.00263994290834,0.288518332917993,1
0.15,18,1.28568646556118,1.00338376909092,0.356196329735716,1
0.15,19,0.0237370207988775,1.00253386925438,0.384032892100724,1
0.15,20,212.836794834793,1.00597743905097,0.364990843854632,1
0.15,21,0.267875031682929,1.00322005805816,0.381451694570901,1
0.15,22,0.025648738566366,1.0020881258453,0.397561343413611,1
0.15,23,0.166031544983119,1.0048227387122,0.327831695957846,1
0.15,24,12.1263262759321,1.00464630100336,0.324387536922854,1
0.15,25,0.73315367658161,1.0056101455263,0.369614503428606,1
0.15,26,0.0612107083718708,1.00389173949165,0.374373937914578,1
0.15,27,5.14790988607116,1.00320140901198,0.360158423270868,1
0.15,28,0.708227064801569,1.00237801296201,0.332483859890076,1
0.15,29,0.34423250254347,1.00195784490836,0.40283854788213,1
0.15,30,0.83904901903156,1.00346975936492,0.377988799869208,1
0.15,31,26.0977220423429,1.00189789994692,0.303903364030979,1
0.15,32,0.0668122145832899,1.00311965663759,0.368331358361138,1
0.15,33,0.448889589534051,1.00163245154159,0.415890208099919,1
0.15,34,0.595981219767125,1.00248245525964,0.369319331691731,1
0.15,35,0.0831524726269564,1.00569093058119,0.333150294845395,1
0.15,36,0.0198373617894844,1.00338864930087,0.296067482506127,1
0.15,37,7.57227677704833,1.00275513028611,0.33918099457238,1
0.15,38,0.158912226718691,1.00402753133887,0.364494477521694,1
0.15,39,0.136484086086868,1.00104682205432,0.371711461028344,1
0.15,40,0.88881714799627,1.00520168566673,0.334484955730185,1
0.15,41,5.88918825279009,1.00233900754477,0.394791023377215,1
0.15,42,0.218591293456158,1.00240365678286,0.394418085994056,1
0.15,43,7.04112062150428,1.00333790750595,0.278026242117959,1
0.15,44,0.460300761723386,1.00423657269701,0.278154645427861,1
0.15,45,655.755790732074,1.00281226155562,0.372338542475557,1
0.15,46,0.235788012007921,1.00211620255168,0.399667364958175,1
0.15,47,0.121421723869135,1.00231951683022,0.401995322418801,1
0.15,48,0.478465696716757,1.00235096512896,0.397874155018213,1
0.15,49,8.77619003777089,1.0038311236675,0.313255636711758,1
0.15,50,25.7888663164823,1.00261980216673,0.340782630754788,1
0.15,51,0.338681763931247,1.00211028839548,0.374728762303425,1
0.15,52,0.0438312843311953,1.00251445691311,0.332095353321913,1
0.15,53,46.2659976396101,1.00592839635504,0.364980237666651,1
0.15,54,0.0540843701568338,1.0024991799598,0.383419361999707,1
0.15,55,0.367078628642889,1.00504272076712,0.340458653277338,1
0.15,56,0.24899166299596,1.00228246826075,0.362418139120561,1
0.15,57,1.36763423039531,1.0026818203224,0.370430894262844,1
0.15,58,0.242185576569551,1.00255070634273,0.37623897743087,1
0.15,59,0.0781394261470477,1.0023970903654,0.333400054117486,1
0.15,60,0.673144862204744,1.00646475867876,0.340234805693178,1
0.15,61,0.404858107814367,1.00372634561907,0.316121895580641,1
0.15,62,0.0459976030656152,1.00484934438968,0.349951452223964,1
0.15,63,1.02306021786577,1.00111143960665,0.349306927679345,1
